,distinct_id,active_timespan,sessions_per_day,churned,number_ratings,Average_SQS,time_in_between_sessions_slope,avg_session_duration
0,000BA5B1-DBEF-414E-ACEC-1A2FCC2053DD,1.130949074074074,85.76867183822176,0,1.0,40.18181818181818,1113.3636363636367,82.85454545454546
1,001210DC-54C8-43AD-B295-148F47818391,7.1583101851851865,8.521564227021816,0,0.0,20.0,-11716.0,47.94
2,0025A8A4-2590-4ECA-8CE8-419D710AE46F,113.68736111111113,0.5629473617339952,0,1.0,27.375,615549.607142857,177.325
3,0038898ed9b23f7e,0.0,0.0,0,0.0,-1.0,0.0,-1.0
4,003BC352-1FE5-462C-883F-932AC209EB93,211.94559027777774,0.04246372848901702,0,0.0,-1.0,0.0,-1.0
5,00471d582ed13800,0.0,0.0,0,0.0,-1.0,0.0,-1.0
6,00492868-3539-4228-AF7E-04AF74447A65,,,0,0.0,-1.0,0.0,-1.0
7,004C9C76-A530-422A-BA1B-667CDA12A08D,6.605902777777778,3.935873850197109,0,0.0,13.25,-44.49999999998544,27.174999999999997
8,005144D7-BD3F-405B-9621-5FACA6B1AC04,197.6384837962963,0.07083640661010959,0,0.0,22.0,0.0,20.95
9,0056EDD0-44AF-4850-AA3C-C8D339CBF828,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
10,006305e5-1c05-4a8b-b33e-c8cf243cfd6d,,,0,0.0,-1.0,0.0,-1.0
11,0067F884-89DD-4F22-9895-FB6B4EBF06E3,,,0,0.0,-1.0,0.0,-1.0
12,00708931-5C43-412D-9ECB-6A8839F38179,0.2941898148148148,78.18081674403966,0,0.0,26.333333333333332,7.0,72.06666666666666
13,0077EEAD-0EC1-4048-9FD7-1DBB185F9E00,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
14,00782604-A3A7-4434-8167-3C05AD24637D,247.41452546296296,0.1091285968335024,0,0.0,14.333333333333334,1301255.0,59.199999999999996
15,007AAF5D-CBD7-4361-9117-80B121E6E0F0,0.3338310185185185,14.97763755503935,0,0.0,2.0,0.0,32.9
16,00861508-53FF-4D0A-BB62-D9B35381886C,0.33484953703703696,47.78265528326018,0,0.0,24.5,0.0,21.45
17,009B5434-19AE-47C6-B1EC-642E7754A29D,151.64707175925923,0.013188517106185956,0,0.0,-1.0,0.0,-1.0
18,00B1E414-C14A-4B01-8B09-7140250F8E0F,154.4895949074074,0.025891711363457075,0,0.0,-1.0,0.0,-1.0
19,00B8B338-93B1-494F-8BE9-009A5AC4ED0E,147.68265046296298,0.02708510436033346,1,0.0,-1.0,0.0,-1.0
20,00B90ED7-E90A-45B7-A675-F14A36F86A68,,,0,0.0,-1.0,0.0,-1.0
21,00B995AA-1601-4A3A-833A-A30D42C8B397,,,0,0.0,-1.0,0.0,-1.0
22,00C56504-B56D-478A-A35D-1649AECBC77A,,,0,0.0,-1.0,0.0,-1.0
23,00CE2C99-8AC3-433E-8611-944CAC725EA5,151.03979166666667,0.17214006794567105,0,2.0,38.333333333333336,4015617.0,75.03333333333333
24,00D88292-02E5-4966-8079-DB96622C3970,187.98811342592592,0.4255588214705016,0,5.0,27.363636363636363,21540.090909090795,90.98181818181818
25,00D8C972-50AE-4E77-8854-5FA31A1D8814,254.5233217592593,0.01178673914541139,0,0.0,-1.0,0.0,-1.0
26,00E28403-47E5-4616-A7BD-0464918790E8,,,0,0.0,-1.0,0.0,-1.0
27,00E324A9-57E2-408F-8256-156241EBA783,,,0,0.0,-1.0,0.0,-1.0
28,00E3AA4B-FCAC-4197-A767-57802EF9C03C,88.58913194444445,0.23704939352119864,0,0.0,8.0,1401923.3,26.099999999999998
29,00F975B5-34ED-4BE1-AC5B-C7577882EA56,151.0582986111111,0.1654990174645137,0,0.0,22.666666666666668,-2177253.0,90.63333333333333
30,00d4b8b407679e94,6.232905092592592,2.4065824486605027,0,0.0,11.5,2.5000000000000067,47.05
31,01056A86-4C10-4F73-860F-1B21CD0BA651,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
32,010C1FEB-F405-40CF-9D1A-431C4927EE1D,,,0,0.0,-1.0,0.0,-1.0
33,0111f0fd-4aa6-4031-82a4-fd72a583e9fd,,,0,0.0,1.5,0.0,88.25
34,011612AE-E218-4B09-9748-B8F88A98D80B,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
35,01195431-5FE0-46CB-8EE9-DFF4EBFA54E7,205.15560185185186,0.15110481858733693,0,0.0,36.333333333333336,-9680079.0,35.833333333333336
36,0127D3CF-D6AB-4802-9255-957D80611839,0.3334375,131.95876288659795,0,0.0,60.666666666666664,2528.0,359.09999999999997
37,0128C6B8-B2B6-4AAB-B182-C061D70DA07B,0.3333333333333333,9.0,0,0.0,-1.0,0.0,-1.0
38,012FE340-BFC1-4485-A537-CA96C7D053DB,,,0,0.0,-1.0,0.0,-1.0
