,distinct_id,locationSetting,notificationSettings,active_timespan,US,Facebook,Foodie,Google,Unknown,num_sessions,sessions_per_day,America/New_York,America/Los_Angeles,America/Chicago,Asia/Kolkata,America/Denver,other_timezone,commentAdded,commentLength,churned,number_ratings,SQS,avg_session_duration,time_delta_slope,session_time_slope,time_delta_slope_90,session_time_slope_90
0,00000000-0000-0000-0000-000000000000,1,0,24.20212962962963,0,0,1,0,0,2,0.011111111111111113,0,0,0,0,0,1,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
1,000BA5B1-DBEF-414E-ACEC-1A2FCC2053DD,1,1,1.130949074074074,1,0,0,1,1,97,0.5388888888888889,0,1,0,0,0,0,0,0.0,0,1.0,40.18181818181818,82.85454545454546,1113.3636363636367,6.302727272727265,0.0,0.0
2,001210DC-54C8-43AD-B295-148F47818391,1,0,7.1583101851851865,1,0,0,1,1,61,0.3388888888888889,0,0,1,0,0,0,0,0.0,0,0.0,20.0,47.94,-11716.0,6.667878787878791,0.0,0.0
3,0019C3B9-FA62-4AB4-A895-1390A1FA818C,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
4,0025A8A4-2590-4ECA-8CE8-419D710AE46F,1,0,113.68736111111113,1,0,1,0,1,64,0.3555555555555556,1,0,0,0,0,0,0,0.0,0,1.0,27.375,177.325,615549.607142857,-41.47619047619047,-9127842.0,6.699999999999996
5,0038898ed9b23f7e,1,1,0.0,0,0,1,0,1,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
6,003BC352-1FE5-462C-883F-932AC209EB93,1,0,211.94559027777774,1,0,1,0,1,9,0.05,0,1,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
7,00471d582ed13800,1,1,0.0,1,0,1,0,1,1,0.005555555555555557,0,1,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
8,00492868-3539-4228-AF7E-04AF74447A65,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
9,004C9C76-A530-422A-BA1B-667CDA12A08D,1,0,6.605902777777778,1,0,0,1,1,26,0.14444444444444446,1,0,0,0,0,0,0,0.0,0,0.0,13.25,27.174999999999997,-44.49999999998544,2.5500000000000056,-44.49999999998544,2.5500000000000056
10,005144D7-BD3F-405B-9621-5FACA6B1AC04,1,0,197.6384837962963,1,0,1,0,1,14,0.07777777777777778,0,0,1,0,0,0,0,0.0,0,0.0,22.0,20.95,0.0,20.700000000000003,0.0,0.0
11,0056EDD0-44AF-4850-AA3C-C8D339CBF828,1,1,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
12,006305e5-1c05-4a8b-b33e-c8cf243cfd6d,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
13,0067F884-89DD-4F22-9895-FB6B4EBF06E3,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
14,00708931-5C43-412D-9ECB-6A8839F38179,1,1,0.2941898148148148,1,0,1,0,1,23,0.12777777777777774,0,1,0,0,0,0,0,0.0,1,0.0,26.333333333333332,72.06666666666666,7.0,55.0,0.0,0.0
15,0077EEAD-0EC1-4048-9FD7-1DBB185F9E00,1,0,0.3333333333333333,0,0,1,0,1,3,0.016666666666666666,0,0,0,1,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
16,00782604-A3A7-4434-8167-3C05AD24637D,1,0,247.41452546296296,1,0,1,0,1,27,0.15,0,1,0,0,0,0,0,0.0,0,0.0,14.333333333333334,59.199999999999996,1301255.0,-22.499999999999996,0.0,0.0
17,007AAF5D-CBD7-4361-9117-80B121E6E0F0,1,0,0.3338310185185185,0,0,1,0,1,5,0.027777777777777776,0,0,0,1,0,0,0,0.0,1,0.0,2.0,32.9,0.0,0.0,0.0,0.0
18,00861508-53FF-4D0A-BB62-D9B35381886C,1,0,0.33484953703703696,1,0,1,0,1,16,0.08888888888888889,0,1,0,0,0,0,0,0.0,1,0.0,24.5,21.45,0.0,-13.7,0.0,0.0
19,009B5434-19AE-47C6-B1EC-642E7754A29D,1,1,151.64707175925923,2,0,1,0,1,2,0.011111111111111113,1,0,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
20,00B1E414-C14A-4B01-8B09-7140250F8E0F,1,0,154.4895949074074,2,0,1,0,1,4,0.022222222222222227,1,0,0,0,0,0,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
21,00B8B338-93B1-494F-8BE9-009A5AC4ED0E,1,1,147.68265046296298,2,0,1,0,1,4,0.022222222222222227,1,0,0,0,0,0,0,0.0,1,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
22,00B90ED7-E90A-45B7-A675-F14A36F86A68,1,0,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
23,00B995AA-1601-4A3A-833A-A30D42C8B397,1,1,0.0,1,0,1,0,0,1,0.005555555555555557,0,0,0,0,0,1,0,0.0,0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0
